AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.9,19,chr21,"COL18A1, KCNE2, SON, CLDN14, DONSON, C21ORF2, TMPRSS15",1.0,Chromosome_Location_hg19
0.9,20,chr15,"MAP2K1, SMAD3, TCF12, VPS33B, SORD, TRIP4, NR2F2, SMAD6, GLDN, PATL2, DLL4, KBTBD13, MYO1E, ACAN, SNHG14, RAD51, CDAN1, ACTC1, AGBL1, SIN3A, ADAMTS17, MKRN3, AAGAB",1.0,Chromosome_Location_hg19
0.95,1,chrX,"FMR1, ARR3, RS1, SOX3, RPS6KA3, STS, OPHN1, LAMP2, PLS3, SLC16A2, G6PD, CDKL5, CYBB, CASK, PHKA1, ACSL4, OCRL, PHKA2, FOXP3, MID1, MID2, POU3F4, AR, DKC1, ANOS1, COL4A5, ZNF711, MAOA, ARX, PCDH19, CACNA1F, GATA1, MTM1, EFNB1, PORCN, ADGRG2, PGK1, NDP, ARSE, GRIA3, RBM10, TRAPPC2, PDHA1, IQSEC2, NONO, SH2D1A, UPF3B, AMMECR1, NR0B1, UBE2A, L1CAM, GJB1, EIF2S3, DLG3, RAB40AL, KDM5C, EDA, DDX3X, CHM, MAGT1, WDR45, CHRDL1, PHF6, PHEX, PQBP1, BMP15, AFF2, RPGR, MECP2, MED12, ZIC3, OPN1LW, IDS, ATP7A, EMD, ABCD1, KDM6A, OFD1, ATP6AP1, ATRX, AVPR2, MSL3, SMC1A, SHROOM4, F8, F9, OPN1MW, RP2, PIGA, IL1RAPL1, DCX, HNRNPH2, PRPS1, SMPX, WAS, KIAA2022, HDAC8, FGD1, PTCHD1, TBX22, NHS, FLNA, DMD, PAK3, BCAP31, SLC35A2, NLGN4X, GK, NAA10, USP9X, NDUFA1, HUWE1, WDR13, CT47B1, CLCN5, GPR143, TMLHE, CLCN4, CD40LG, ZDHHC9, PLP1, GLA, MBTPS2, OTC, TAF1, CUL4B",2.3889232048442457e-05,Chromosome_Location_hg19
0.95,2,chr18,"SMAD2, CTDP1, DTNA, PIGN, LAMA3, GATA6, NEDD4L, KCTD1, MALT1, MIB1, MC4R, SMCHD1, LOXHD1, TTR, GNAL, NPC1, ASXL3, MYO5B, LIPG, PIEZO2, RTTN, DSG2, NDUFV2, DSC2",1.0,Chromosome_Location_hg19
0.95,3,chr22,"SMARCB1, TMPRSS6, PDGFB, TCF20, CYB5R3, CDC45, CYP2D6, MYO18B, TIMP3, EP300, MAPK1, APOL1, SBF1, NEFH, MORC2, TBX1, ADSL, CHKB, CRYBB3, NAGA, CRYBB2, ALG12, ADA2, SOX10, MN1, SCO2, SPECC1L, PI4KA, IFT27, NF2, ACO2, LZTR1, DEPDC5, SHANK3",1.0,Chromosome_Location_hg19
0.95,4,chr6 ssto hap7,"SYNGAP1, CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, CFB, PSMB8",1.0,Chromosome_Location_hg19
0.95,5,chr6 mann hap4,"TUBB, CSNK2B, NEU1, COL11A2, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
0.95,8,chr16,"PIGQ, ROGDI, CTCF, LITAF, PKD1, CDH1, CA5A, CHMP1A, PIEZO1, VPS35, TK2, EARS2, SRRM2, USP7, COG7, PRMT7, TRAPPC2L, ABCC6, TSC2, HBA2, MAPK8IP3, THOC6, STX1B, MAF, ARMC5, GAN, TELO2, CETP, FOXC2, VAC14, SRCAP, ANKRD11, NPRL3, MRPS34, PARN, LCAT, UMOD, NOD2, SLC5A2, MEFV, CACNA1H, GLIS2, LMF1, HSD11B2, NTHL1, ZNF469, MYH11, ZNF423, HSD3B7, CREBBP, ZFHX3, PRRT2, FUS, FOXF1, SETD1A, TBX6, PALB2, ACSF3, TMEM231, GNAO1, GALNS, CDK10",1.0,Chromosome_Location_hg19
0.95,6,chr6 mcf hap5,"CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
0.95,9,chr2,"IL1RN, MYT1L, ABCA12, ACTG2, PPP1CB, NFU1, SCN9A, TRAPPC12, CYP1B1, MPV17, SCN1A, ACVR1, ABCG8, LHCGR, ABCG5, TBR1, MOGS, SOX11, BCS1L, TUBA4A, POU3F3, MSH6, CYP27A1, ADAM17, PREPL, MYCN, FAM161A, HECW2, COL4A3, OBSL1, CERKL, PKDCC, CUL3, GIGYF2, NEUROD1, DGUOK, TPO, TTC21B, NPHP1, OTOF, IL36RN, APOB, SCN3A, BARD1, GCKR, WNT10A, PNPT1, SRD5A2, FANCL, BCL11A, IDH1, EXOC6B, FN1, NEB, NDUFAF7, CALM2, GLI2, IFIH1, CYP26B1, SPR, SIX3, CTLA4, ITGB6, BBS5, KLF11, CKAP2L, DNMT3A, PAX3, HADHB, ZAP70, ZEB2, ALS2, POLR1A, FSHR, SLC25A12, SOS1, MATN3, ATP6V1B1, SATB2, CXCR4, HOXD13, LRP2, NLRC4, ABCB11, TTN, HSPD1, PDE11A, EPCAM, XIRP2, CLASP1, RANBP2, STAT1, KIDINS220, KCNJ13, PEX13, CFC1, AGBL5, CRYGC, PNKD, DES, ASXL2, TRIP12, C2ORF71",1.0,Chromosome_Location_hg19
0.95,7,chr6 dbb hap3,"CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
0.95,11,chr14,"ABCD4, SERPINA1, ATL1, FOXG1, CHD8, NRXN3, PSEN1, PYGL, COCH, IRF2BPL, YY1, TGM1, SIX6, PNP, RDH12, SPTLC2, NKX2-1, FLVCR2, OTX2, MGAT2, NEK9, DYNC1H1, EIF2B2, BRF1, BCL11B, DNAAF2, ACTN1, ESRRB, TINF2, DICER1, MLH3, ESR2, TSHR, BMP4, GALC, ALDH6A1, SLC7A7, INF2, NPC2, RPS29, PAX9, CCDC88C, ADSSL1, ANG, L2HGDH, CALM1, SOS2, MYH6",1.0,Chromosome_Location_hg19
0.95,13,chr3,"SETD5, SETD2, GFM1, DOCK3, ACY1, ZBTB20, PLOD2, SLC6A1, MYLK, ROBO1, SOX2, GMPPB, TMEM43, MECOM, OPA1, SCN11A, SCN5A, GYG1, TP63, IQCB1, CD96, PCYT1A, HGD, MRPS22, TNNC1, ACAD9, MCCC1, ALG3, FOXL2, MITF, IL17RD, KLHL40, RNF168, SCN10A, BTD, PIK3CA, TBL1XR1, FANCD2, EHHADH, PCCB, RPUSD3, AGTR1, PPARG, CRELD1, CEP63, CLDN16, RAF1, CLRN1, MCM2, RAB7A, ARL6, TERC, UBA5, ITPR1, XPC, ABHD5, ATP2C1, CLCN2, ADCY5, THPO, PDCD10, SI, HESX1, XIRP1, ANO10, NPHP3, FLNB, P2RY12, EIF2B5, CRTAP, BRPF1, CAV3, TREX1, NBEAL2, ATP2B2, ZIC4, MLH1, CP, COLQ, STAG1, ARHGAP31, CHMP2B, CTNNB1, FGF12, PLCD1, BAP1",1.0,Chromosome_Location_hg19
0.95,10,chr6 qbl hap6,"CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
0.95,14,chr12,"ACVRL1, SCARB1, SLC25A3, NUP107, CDKN1B, AMHR2, PTPRQ, PYROXD1, NDUFA12, LRRK2, HSPB8, ATP2A2, CHD4, GYS2, HELB, TBK1, TUBA1A, CCND2, GNPTAB, KIF21A, ARID2, ACADS, SOX5, KRT6A, MYBPC1, SMARCC2, VWF, KRT1, IRAK3, ABCC9, HNF1A, IRAK4, KRT5, LEMD3, DUSP6, TNFRSF1A, ETV6, C12ORF4, COL2A1, IFT81, MYL2, SCN8A, GPD1, SCNN1A, PKP2, VAMP1, RDH5, KMT2D, KCNA1, TMTC3, CACNA1C, AAAS, KRT86, PTHLH, C12ORF65, LRP6, C12ORF57, CYP27B1, CUX2, DHX37, ATP6V0A2, WNT10B, SYT1, PTPN11, A2ML1, IGF1, GRIN2B, OTOGL, MFAP5, RPS26, KITLG, POLR3B, PAH, TRPV4, KRAS",1.0,Chromosome_Location_hg19
0.95,12,chr6 apd hap1,"TUBB, NEU1, PSMB8",1.0,Chromosome_Location_hg19
0.95,15,chr6 cox hap2,"CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
0.95,16,chr10,"MRPS16, PTEN, PRF1, ADK, LDB3, SMC3, MYPN, MMP21, DHTKD1, TUBB8, FGF8, ANKRD1, PRKG1, PITX3, CUBN, ABCC2, TWNK, C10ORF11, EBF3, KCNK18, CACNB2, CYP26C1, ZEB1, RBP3, KAT6B, KCNMA1, MYO3A, WAC, RBM20, DNA2, MICU1, ZMYND11, OPTN, VCL, COL17A1, CHAT, PAPSS2, BAG3, CDH23, PCBD1, PDZD7, LGI1, EGR2, ANKRD26, ZRANB1, ASCC1, HPS1, HPS6, NFKB2, GLUD1, POLR3A, FAS, SFTPA1, NEUROG3, BMPR1A",1.0,Chromosome_Location_hg19
0.95,17,chr15,"GABRB3, OCA2, MTFMT, MAGEL2, ETFA, UBE3A, UBR1, NR2E3, CLN6, GLDN, KBTBD13, DLL4, ACAN, PSTPIP1, SPRED1, LIPC, HERC1, SIN3A, ADAMTS17, CAPN3, CHST14, SLC12A6, BBS4, MAP2K1, SMAD3, VPS33B, TCF12, TPM1, IDH2, SORD, TRIP4, NR2F2, KNL1, FAH, SMAD6, MEIS2, PATL2, MYO1E, SNHG14, ACTC1, RAD51, CDAN1, AGBL1, STRC, MKRN3, AAGAB, PPIB, FBN1",1.0,Chromosome_Location_hg19
0.95,18,chr11,"DPAGT1, CARS, ROBO3, KCNC1, TENM4, C2CD3, CTNND1, DNHD1, HBB, CD3G, PYGM, HBD, CD3D, BEST1, SLC22A12, CSRP3, SMPD1, CAPN5, KMT5B, CTSF, CAPN1, SLC37A4, HRAS, IFITM5, RAG1, MEN1, CDON, MYBPC3, ACAD8, KIRREL3, PDHX, ALG8, CPT1A, ALG9, TRPC6, ABCC8, ROM1, AIP, TALDO1, APOA1, PAX6, MYO7A, SDHD, APOA5, TIRAP, ANO3, BSCL2, MFRP, LRTOMT, SDHAF2, PACS1, KCNQ1, TMEM216, TNNT3, TMEM126A, SERPING1, CRYAB, SHANK2, RAPSN, LIPT2, MYRF, ATL3, KCNE3, KMT2A, HEPACAM, IGHMBP2, SLC1A2, RASGRP2, CBL, PTS, INS, GANAB, DEAF1, ALX4, SLC25A22, GRIA4, TUB, KCNJ5, BDNF, FZD4, B3GAT3, TYR, SORL1, FAM111B, EXT2, WT1, DCHS1, FOLR1",1.0,Chromosome_Location_hg19
0.95,20,chr5,"PCSK1, GABRB2, TRIO, GFM2, HEXB, CTNND2, DDX41, AFF4, GHR, NIPAL4, NIPBL, HINT1, COL4A3BP, NNT, POLK, PITX1, TTC37, MEF2C, SLC6A19, SPINK1, NSUN2, SLC34A1, PDE4D, ZFR, SPINK5, AP3B1, GABRG2, KIF2A, LOX, MYOT, MSH3, RASA1, SQSTM1, FBN2, CSF1R, SLC45A2, HDAC3, SLC22A5, SAR1B, NPR3, CAMK2A, C7, TCOF1, ANKH, C9, NSD1, SMN1, PDE6A, NKX2-5, C5ORF42, ARSB, GABRA1, MAP3K1, MYO10, NR2F1, POU4F3, DHFR, DIAPH1, RAD50, APC, NDUFAF2, TGFBI, HCN1",1.0,Chromosome_Location_hg19
0.95,19,chr20,"SNAP25, RTEL1, PIGT, MOCS3, CHRNA4, JPH2, PROKR2, SALL4, HNF4A, TUBB1, TGM6, SEC23B, CTSA, MGME1, RTEL1-TNFRSF6B, PRNP, JAG1, PTGIS, CSNK2A1, EDN3, SLC2A10, SLC4A11, PDYN, ASXL1, MC3R, BMP2, PLCB4, KCNQ2, EEF1A2, COL9A3, ADNP, ITPA, ADA",1.0,Chromosome_Location_hg19
1.0,1,chrX,"FRMPD4, FMR1, IRS4, ARR3, RS1, SOX3, RPS6KA3, STS, OPHN1, LAMP2, PLS3, SLC16A2, G6PD, CDKL5, CYBB, CASK, ALG13, PHKA1, ACSL4, OCRL, PHKA2, FOXP3, FTSJ1, MID1, MID2, POU3F4, HCFC1, AR, SLC9A6, FRMD7, DKC1, SMS, BTK, ANOS1, COL4A5, ZNF711, ABCB7, MAOA, IGSF1, ARX, PCDH19, CACNA1F, GATA1, MTM1, EFNB1, PORCN, ADGRG2, PGK1, NDP, ARSE, GRIA3, RBM10, TRAPPC2, PDHA1, IQSEC2, NONO, SH2D1A, UPF3B, AMMECR1, NR0B1, UBE2A, FANCB, L1CAM, GJB1, SLC6A8, EIF2S3, LAS1L, DLG3, RAB40AL, BRWD3, ALAS2, KDM5C, EDA, DDX3X, GDI1, FHL1, CHM, MAGT1, TAZ, WDR45, CHRDL1, PHF6, PHEX, PQBP1, BMP15, AFF2, RPGR, MECP2, MED12, AIFM1, ZIC3, OPN1LW, IDS, ATP7A, EMD, ABCD1, KDM6A, OFD1, ATP6AP1, ATRX, AVPR2, MSL3, SMC1A, SYN1, SHROOM4, CNKSR2, F8, ARHGEF9, F9, OPN1MW, RP2, PIGA, IL1RAPL1, DCX, HNRNPH2, ARHGEF6, AMER1, PRPS1, RPL10, SMPX, WAS, KIAA2022, HDAC8, FGD1, SRPX2, PTCHD1, TBX22, GPC3, SHOX, NHS, FLNA, DMD, PAK3, UBQLN2, BCAP31, SLC35A2, NLGN4X, GK, NAA10, USP9X, NDUFA1, HUWE1, ATP2B3, NYX, WDR13, CT47B1, CLCN5, GPR143, TMLHE, CLCN4, CD40LG, ZDHHC9, VMA21, PLP1, BCOR, MAMLD1, GLA, MBTPS2, OTC, TAF1, CUL4B",0.056702084053478055,Chromosome_Location_hg19
1.0,2,chr17 ctg5 hap1,"KANSL1, MAPT",1.0,Chromosome_Location_hg19
1.0,3,chr18,"CTDP1, FECH, PIGN, LAMA1, TSHZ1, LAMA3, RAX, GATA6, NEDD4L, MALT1, MC4R, SMCHD1, LOXHD1, MC2R, TTR, LIPG, PIEZO2, DYM, EPG5, RTTN, NDUFV2, SMAD2, TGIF1, SMAD4, DTNA, ATP8B1, DCC, KCTD1, MIB1, AFG3L2, GNAL, NPC1, SETBP1, ASXL3, MYO5B, DSG1, DSG2, TCF4, LPIN2, DSC2",1.0,Chromosome_Location_hg19
1.0,4,chr16,"ROGDI, XYLT1, GCSH, CDH3, SALL1, CDH1, TUBB3, PIEZO1, VPS35, EARS2, SRRM2, RBFOX1, USP7, COG8, COG7, TRAPPC2L, COG4, TSC2, ALG1, RPGRIP1L, MAPK8IP3, THOC6, TUFM, STX1B, MAF, ARMC5, KARS, SCNN1B, TBC1D24, IGFALS, TELO2, FTO, CETP, SRCAP, ANKRD11, NPRL3, UMOD, SLC5A2, MEFV, CACNA1H, GLIS2, HSD11B2, GRIN2A, OTOA, NTHL1, ADAMTS18, PLCG2, MYH11, SLC38A8, ZNF423, BBS2, CDT1, CREBBP, ZFHX3, ACD, PRRT2, FUS, FOXF1, ABCA3, PMM2, SETD1A, FANCA, PHKB, COQ9, PALB2, ACSF3, TMEM231, GNAO1, CYLD, GNPTG, CDK10, AARS, PIGQ, ATP2A1, CTCF, LITAF, PKD1, CA5A, CHMP1A, HYDIN, TK2, CHST6, PRMT7, IFT140, ABCC6, HBA2, KIF22, GAN, MVD, CNGB1, FOXC2, VAC14, MRPS34, PARN, LCAT, NOD2, SPG7, LMF1, CLN3, SLX4, HSF4, ZNF469, SLC12A3, HSD3B7, WWOX, NDE1, TBX6, GALNS, ERCC4",1.0,Chromosome_Location_hg19
1.0,5,chr2,"SMARCAL1, IL1RN, MYT1L, IRS1, IFT172, IHH, ABCA12, ACTG2, PPP1CB, NFU1, KIF5C, SCN9A, TRAPPC12, CYP1B1, MPV17, SCN1A, ACVR1, ABCG8, LHCGR, ABCG5, SP110, TBR1, MOGS, SOX11, TTC7A, BCS1L, FBXO11, PRSS56, POU3F3, TUBA4A, KLHL41, MSH6, EDAR, CYP27A1, ADAM17, PREPL, MYCN, MSH2, FAM161A, HECW2, COL4A4, COL4A3, WDPCP, SNRNP200, OBSL1, CHRNA1, CERKL, PKDCC, ABCB6, CUL3, GIGYF2, NEUROD1, ORC4, DGUOK, TPO, SPAST, TMEM127, TTC21B, NPHP1, SLC19A3, ST3GAL5, OTOF, IL36RN, APOB, SCN3A, NHEJ1, BARD1, GCKR, WNT10A, PNPT1, SRD5A2, FANCL, BCL11A, IDH1, GFPT1, FN1, EIF2AK3, EXOC6B, NEB, REEP1, PROC, CPS1, NDUFAF7, TMEM237, COL5A2, SCN2A, CALM2, BMPR2, FASTKD2, DYSF, SLC40A1, GLI2, UNC80, IFIH1, CYP26B1, CASP8, SPR, SIX3, CTLA4, CNGA3, ITGB6, KIF1A, BBS5, DIS3L2, KLF11, UGT1A1, CKAP2L, MARS2, CAD, DNMT3A, PAX3, WDR35, HADHB, HADHA, ZAP70, ZEB2, ALS2, PAX8, POLR1A, FSHR, PXDN, SAG, COL6A3, AGXT, LCT, SLC25A12, SOS1, MATN3, ATP6V1B1, HDAC4, NBAS, DCTN1, NRXN1, SATB2, CXCR4, HOXD13, NLRC4, LRP2, ABCB11, TTN, HSPD1, CHRND, PDE11A, DCAF17, CHRNG, EPCAM, ERBB4, XIRP2, CNNM4, CLASP1, RANBP2, MBD5, KIDINS220, STAT1, KCNJ13, ECEL1, PEX13, CFC1, LRPPRC, CRYGC, AGBL5, COL3A1, PNKD, PIKFYVE, DES, ERCC3, ASXL2, ALMS1, TRIP12, C2ORF71",1.0,Chromosome_Location_hg19
1.0,6,chr21,"APP, COL18A1, KCNE1, KCNE2, AIRE, TMPRSS3, ITGB2, FTCD, HLCS, CBS, PCNT, RIPK4, DYRK1A, DONSON, TSPEAR, LSS, RUNX1, TMPRSS15, MRAP, RSPH1, SON, SYNJ1, CLDN14, COL6A2, COL6A1, C21ORF2",1.0,Chromosome_Location_hg19
1.0,7,chr14,"POMT2, ABCD4, SERPINA1, CHD8, PYGL, GPHN, IRF2BPL, YY1, TGM1, ZFYVE26, SIX6, PNP, SPTLC2, CFL2, AKT1, FLVCR2, DNAAF2, ACTN1, TINF2, VRK1, DICER1, SPTB, SLC7A7, IFT43, INF2, MTHFD1, NPC2, PAX9, ADSSL1, ANG, L2HGDH, SOS2, MYH6, MYH7, MAX, ATL1, FOXG1, NRXN3, LTBP2, PSEN1, SPATA7, COCH, FBLN5, RDH12, NKX2-1, AP4S1, OTX2, MGAT2, NEK9, DYNC1H1, EIF2B2, GCH1, BRF1, BCL11B, NUBPL, TGFB3, ESRRB, MLH3, ESR2, TSHR, BMP4, GALC, RPGRIP1, NFKBIA, TTLL5, ALDH6A1, TTC8, NIN, KIAA0586, RPS29, CCDC88C, TRIP11, VIPAS39, CALM1, TECPR2, VSX2",1.0,Chromosome_Location_hg19
1.0,8,chr22,"SMARCB1, NCF4, MLC1, TCF20, TRIOBP, PEX26, CYP2D6, CHEK2, MYO18B, TIMP3, EP300, SBF1, SCARF2, NEFH, ARSA, ADSL, MKL1, ALG12, SOX10, MN1, SCO2, SPECC1L, MYH9, DEPDC5, SHANK3, TMPRSS6, PDGFB, SLC5A1, PLA2G6, TYMP, CYB5R3, CDC45, MAPK1, APOL1, MORC2, TBX1, CHKB, HPS4, CRYBB3, NAGA, CRYBB2, ADA2, TCN2, PI4KA, TUBGCP6, IFT27, NF2, ACO2, LZTR1",1.0,Chromosome_Location_hg19
1.0,9,chr6 ssto hap7,"SYNGAP1, TNXB, CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, SKIV2L, CFB, PSMB8",1.0,Chromosome_Location_hg19
1.0,10,chr9,"INVS, LRSAM1, PIGO, LAMC3, GLDC, DOCK8, POMT1, TNC, EHMT1, IKBKAP, GBA2, BICD2, GLE1, KCNT1, SPTLC1, AUH, ADAMTSL2, JAK2, TMEM38B, SPTAN1, CDK5RAP2, TMC1, SLC34A3, DDX58, IL11RA, TPM2, VPS13A, ALG2, TSC1, CEL, BAAT, TOPORS, DNM1, TGFBR1, NSMF, ROR2, MAN1B1, LMX1B, FXN, FREM1, SLC27A4, GNE, ENG, CRB2, KANK1, VCP, GALT, NOTCH1, NPR2, STXBP1, TYRP1, GLIS3, HSD17B3, CACNA1B, XPA, PRDM12, AGPAT2, C5, KCNV2, ADAMTS13, SOHLH1, INPP5E, ABL1, EXOSC3, DNAI1, MPDZ, FKTN, ABCA1, ZNF462, NTRK2, GABBR2, SURF1, TOR1A, CDKN2A, PTCH1, CARD9, DOLK, FANCC, TUBB4B, SMARCA2, APTX, FANCG, GRIN1, SETX, COQ4, GFI1B, HNRNPK, COL5A1, PSAT1, TEK, IARS, TRIM32, TJP2",1.0,Chromosome_Location_hg19
1.0,11,chr15,"GABRB3, MTFMT, HEXA, MPI, AP4E1, ETFA, UBE3A, CHD2, NR2E3, RLBP1, GLDN, IGF1R, KBTBD13, PSTPIP1, SPRED1, LIPC, HERC2, HERC1, SIN3A, DUOXA2, CAPN3, SLC12A6, SPG11, SCAPER, BBS4, POLG, MAP2K1, VPS13C, VPS33B, TCF12, TPM1, NIPA1, SORD, KNL1, KIF7, PATL2, ALDH1A3, SNHG14, IVD, ALPK3, AAGAB, PLIN1, PPIB, FAN1, HCN4, OCA2, SLC24A1, BLM, MAGEL2, UBR1, CLN6, TTBK2, TRPM1, DLL4, ACAN, ADAMTS17, CHST14, DUOX2, STRA6, FANCI, MYEF2, SMAD3, CEP152, SLC12A1, IDH2, TRIP4, NR2F2, EIF2AK4, FAH, SMAD6, MEIS2, MYO1E, GATM, ACTC1, RAD51, CDAN1, AGBL1, STRC, MKRN3, TUBGCP4, FBN1",1.0,Chromosome_Location_hg19
1.0,12,chr3,"ZBTB20, PLOD2, TSEN2, MYLK, SOX2, SCN11A, GYG1, TP63, CD96, GHSR, CASR, HGD, MCCC1, WNT5A, ALG3, IFT80, MITF, TRNT1, KLHL40, FOXP1, SCN10A, BTD, TBL1XR1, FANCD2, MYL3, SLCO2A1, AGTR1, MASP1, SLC6A1-AS1, RAF1, ARL6, TERC, UBA5, ITPR1, CACNA1D, XPC, ABHD5, GATA2, DHX30, THPO, PDCD10, SI, HESX1, NPHP3, DVL3, IMPG2, EIF2B5, CRTAP, BRPF1, CAV3, TREX1, HPS3, IFT122, NBEAL2, CP, BFSP2, TMIE, STAG1, ARHGAP31, QARS, CHMP2B, SERPINI1, FGF12, BAP1, ATR, SETD5, SETD2, GFM1, DOCK3, ACY1, NGLY1, SLC2A2, SLC6A1, LMOD3, ROBO1, GMPPB, MRPL3, FYCO1, TMEM43, MECOM, OPA1, SCN5A, IQCB1, CCDC39, POU1F1, PCYT1A, MRPS22, TNNC1, ACAD9, AMT, FOXL2, IL17RD, POMGNT2, IL17RC, TGFBR2, RNF168, PIK3CA, EHHADH, PCCB, RPUSD3, RFT1, PPARG, CRELD1, CEP63, CLDN16, UMPS, CLRN1, MCM2, RAB7A, DNAH1, PDHB, ATP2C1, CLCN2, ADCY5, ARL13B, RHO, XIRP1, ANO10, FLNB, SLC25A20, VHL, P2RY12, TTC14, BCHE, LAMB2, ATP2B2, ZIC4, MLH1, COLQ, GLB1, COL7A1, CTNNB1, PLCD1",1.0,Chromosome_Location_hg19
1.0,16,chr12,"SCARB1, NUP107, AMHR2, NDUFA12, UBE3B, GRIP1, HELB, TBK1, CCND2, GNPTAB, KIF5A, KIF21A, ARID2, KRT6C, KRT6B, TMPO, SOX5, KRT6A, SMARCC2, DDX11, KRT2, PUS1, KRT1, CACNA2D4, HNF1A, KRT5, LEMD3, IFT81, MYL2, SCN8A, GPD1, SCNN1A, PKP2, HPD, KMT2D, TMTC3, CACNA1C, AAAS, GNS, C12ORF65, C12ORF57, SLCO1B1, CYP27B1, DHX37, ATP6V0A2, WNT10B, SYT1, A2ML1, IGF1, GDF3, GRIN2B, MED13L, RPS26, PPFIBP1, WNK1, CDK4, PAH, TRPV4, CD27, ACVRL1, SLC25A3, CDKN1B, PTPRQ, PYROXD1, LRRK2, HSPB8, ATP2A2, CHD4, GYS2, TUBA1A, TCTN2, TCTN1, DNM1L, CEP290, ACADS, POLE, MYBPC1, VWF, IRAK3, ABCC9, IRAK4, DUSP6, TNFRSF1A, ETV6, CIT, C12ORF4, COL2A1, BBS10, PEX5, VAMP1, ITGA7, RDH5, MVK, C1R, KCNA1, PRICKLE1, KRT86, PTHLH, LRP6, KRT83, FGD4, CUX2, ERBB3, NDUFA9, PTPN11, TBX5, TBX3, OTOGL, MFAP5, KITLG, POLR3B, P2RX2, KRAS, CCDC65, PFKM",1.0,Chromosome_Location_hg19
1.0,13,chr6 mcf hap5,"TNXB, CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, SKIV2L, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
1.0,14,chr6 mann hap4,"TNXB, TUBB, CSNK2B, NEU1, COL11A2, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
1.0,15,chr6 dbb hap3,"TNXB, CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, SKIV2L, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
1.0,19,chr20,"PTPRT, SNAP25, PANK2, PIGT, MOCS3, ABHD12, JPH2, SALL4, HNF4A, TUBB1, DNMT3B, CEP250, TGM6, MKKS, PTGIS, CSNK2A1, EDN3, SLC2A10, PDYN, DPM1, MC3R, PLCB4, TBC1D20, DNAJC5, KCNQ2, EEF1A2, ADNP, AVP, PLCB1, RTEL1, AHCY, CHRNA4, GATA5, SAMHD1, PROKR2, EPB41L1, PCK1, SEC23B, CTSA, MGME1, RTEL1-TNFRSF6B, PRNP, ARFGEF2, JAG1, SLC12A5, KCNB1, SLC52A3, SLC4A11, GDF5, ASXL1, FERMT1, BMP2, GNAS, COL9A3, ITPA, ADA",1.0,Chromosome_Location_hg19
1.0,17,chr6 qbl hap6,"TNXB, CYP21A2, TUBB, CSNK2B, NEU1, COL11A2, SKIV2L, VARS2, CFB, PSMB8",1.0,Chromosome_Location_hg19
1.0,20,chr11,"CARS, DPAGT1, CLPB, CTNND1, DNHD1, SBF2-AS1, BEST1, EFEMP2, CAPN5, KMT5B, CAPN1, RAG2, SBF2, IFITM5, RAG1, TECTA, MEN1, CDON, DYNC2H1, KIRREL3, PDHX, ALG8, CPT1A, ALG9, SLC35C1, AIP, TALDO1, MYO7A, SDHD, BSCL2, TMEM138, KCNQ1, HMBS, TMEM126A, SERPING1, LIPT2, RNASEH2C, MTMR2, KCNE3, KMT2A, HEPACAM, CABP4, SLC1A2, LTBP3, RASGRP2, DEAF1, OTOG, ALX4, SCN3B, NDUFV1, GRIA4, SPTBN2, BBS1, BDNF, FZD4, IGF2, HPS5, TYR, FANCF, FAM111B, SLC6A5, EXT2, TH, TPP1, DCHS1, ATM, DHCR7, CDKN1C, ROBO3, KCNC1, TENM4, C2CD3, CEP164, GRIK4, HBB, PYGM, CD3G, TCIRG1, HBD, CD3D, MED17, SLC22A12, CSRP3, ZNF408, SMPD1, C1QTNF5, CTSF, DLAT, SLC37A4, HRAS, CTSD, CTSC, MYBPC3, ACAD8, TRPC6, EED, ABCC8, ROM1, APOA1, PAX6, APOA5, ANO5, TIRAP, ANO3, MMP13, MFRP, LRTOMT, NDUFS8, SDHAF2, PACS1, TMEM216, TNNT3, NDUFS3, CRYAB, SHANK2, RAPSN, ATL3, MYRF, USH1C, LRP5, IGHMBP2, CBL, FOXRED1, PTS, INS, GANAB, TNNI2, KCNJ1, SLC25A22, TUB, KCNJ5, C11ORF65, KCNJ11, B3GAT3, APOC3, SORL1, PC, WT1, FOLR1, PNPLA2",1.0,Chromosome_Location_hg19
1.0,18,chr6 apd hap1,"TUBB, NEU1, PSMB8",1.0,Chromosome_Location_hg19
